trip_id,arrival_time,departure_time,stop_id,stop_sequence
10.237155,05:00:00,05:00:30,3455193488,0
10.237155,05:01:49,05:02:19,5298309916,1
10.237155,05:04:20,05:04:50,3455211377,2
10.237155,05:05:49,05:06:19,5301563274,3
10.237155,05:08:10,05:08:40,3455247897,4
10.237155,05:10:02,05:10:32,335092233,5
10.237155,05:14:29,05:14:59,297460778,6
10.237155,05:16:41,05:17:11,297460781,7
10.237155,05:17:52,05:18:22,297460783,8
10.237155,05:19:04,05:19:34,277740745,9
10.237155,05:20:05,05:20:35,271344448,10
10.237155,05:21:46,05:22:16,315270310,11
10.237155,05:25:04,05:25:34,732406919,12
10.237155,05:26:33,05:27:03,5330061356,13
10.237155,05:28:10,05:28:40,5299929922,14
10.237155,05:29:28,05:29:58,344240647,15
10.237155,05:30:39,05:31:09,5299929926,16
10.237155,05:35:27,05:35:57,335600561,17
10.237155,05:37:35,05:38:05,365740833,18
10.237155,05:39:31,05:40:01,490231020,19
10.237155,05:40:49,05:41:19,368320463,20
10.237155,05:42:14,05:42:44,1586891245,21
10.237155,05:43:35,05:44:05,2470507979,22
10.237155,05:44:07,05:44:37,732048497,23
20.237155,05:20:00,05:20:30,3455193488,0
20.237155,05:21:49,05:22:19,5298309916,1
20.237155,05:24:20,05:24:50,3455211377,2
20.237155,05:25:49,05:26:19,5301563274,3
20.237155,05:28:10,05:28:40,3455247897,4
20.237155,05:30:02,05:30:32,335092233,5
20.237155,05:34:29,05:34:59,297460778,6
20.237155,05:36:41,05:37:11,297460781,7
20.237155,05:37:52,05:38:22,297460783,8
20.237155,05:39:04,05:39:34,277740745,9
20.237155,05:40:05,05:40:35,271344448,10
20.237155,05:41:46,05:42:16,315270310,11
20.237155,05:45:04,05:45:34,732406919,12
20.237155,05:46:33,05:47:03,5330061356,13
20.237155,05:48:10,05:48:40,5299929922,14
20.237155,05:49:28,05:49:58,344240647,15
20.237155,05:50:39,05:51:09,5299929926,16
20.237155,05:55:27,05:55:57,335600561,17
20.237155,05:57:35,05:58:05,365740833,18
20.237155,05:59:31,06:00:01,490231020,19
20.237155,06:00:49,06:01:19,368320463,20
20.237155,06:02:14,06:02:44,1586891245,21
20.237155,06:03:35,06:04:05,2470507979,22
20.237155,06:04:07,06:04:37,732048497,23
