route_id,service_id,trip_id,trip_headsign,shape_id
237155,WE,10.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,20.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WE,30.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WD,11.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WD,21.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237155,WD,31.237155,[Dummy]Römerkastell-to-Dudweiler Dudoplatz,237155
237740,WE,10.237740,[Dummy]Universität Busterminal-to-Betriebshof,237740
237740,WE,20.237740,[Dummy]Universität Busterminal-to-Betriebshof,237740
237740,WE,30.237740,[Dummy]Universität Busterminal-to-Betriebshof,237740
237740,WD,11.237740,[Dummy]Universität Busterminal-to-Betriebshof,237740
237740,WD,21.237740,[Dummy]Universität Busterminal-to-Betriebshof,237740
237740,WD,31.237740,[Dummy]Universität Busterminal-to-Betriebshof,237740
385708,WE,10.385708,"[Dummy]Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",385708
385708,WE,20.385708,"[Dummy]Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",385708
385708,WE,30.385708,"[Dummy]Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",385708
385708,WD,11.385708,"[Dummy]Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",385708
385708,WD,21.385708,"[Dummy]Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",385708
385708,WD,31.385708,"[Dummy]Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",385708
405625,WE,10.405625,[Dummy]Saarbasar-to-Folsterhöhe Siedlung,405625
405625,WE,20.405625,[Dummy]Saarbasar-to-Folsterhöhe Siedlung,405625
405625,WE,30.405625,[Dummy]Saarbasar-to-Folsterhöhe Siedlung,405625
405625,WD,11.405625,[Dummy]Saarbasar-to-Folsterhöhe Siedlung,405625
405625,WD,21.405625,[Dummy]Saarbasar-to-Folsterhöhe Siedlung,405625
405625,WD,31.405625,[Dummy]Saarbasar-to-Folsterhöhe Siedlung,405625
405907,WE,10.405907,[Dummy]Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,405907
405907,WE,20.405907,[Dummy]Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,405907
405907,WE,30.405907,[Dummy]Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,405907
405907,WD,11.405907,[Dummy]Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,405907
405907,WD,21.405907,[Dummy]Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,405907
405907,WD,31.405907,[Dummy]Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,405907
405963,WE,10.405963,[Dummy]Universität Busterminal-to-Rabbiner-Rülf-Platz,405963
